,tweet_id,retweet_count,likes,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls,rating_numerator,rating_denominator,name,doggo,floofer,pupper,puppo,stage,created_date,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
0,892420643555336193,7207,34593,,,2017-08-01 16:23:56,TweetDeck,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 ,,,,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,Phineas,,,,,,2017-08-01,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,orange,0.0970486,False,bagel,0.08585110000000001,False,banana,0.07611,False
1,892177421306343426,5409,29991,,,2017-08-01 00:17:27,TweetDeck,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",,,,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,,,,,,2017-08-01,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,0.323581,True,Pekinese,0.0906465,True,papillon,0.0689569,True
2,891815181378084864,3574,22570,,,2017-07-31 00:18:03,TweetDeck,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,,,,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,,,,,,2017-07-31,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True
3,891689557279858688,7428,37858,,,2017-07-30 15:58:51,TweetDeck,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,,,,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,,,,,,2017-07-30,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,paper_towel,0.17027799999999998,False,Labrador_retriever,0.168086,True,spatula,0.0408359,False
4,891327558926688256,7970,36147,,,2017-07-29 16:00:24,TweetDeck,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ",,,,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,,,,,,2017-07-29,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset,0.555712,True,English_springer,0.22577,True,German_short-haired_pointer,0.175219,True
5,891087950875897856,2677,18229,,,2017-07-29 00:08:17,TweetDeck,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,,,,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,,,,,,,2017-07-29,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake_Bay_retriever,0.425595,True,Irish_terrier,0.116317,True,Indian_elephant,0.07690219999999999,False
6,890971913173991426,1720,10621,,,2017-07-28 16:27:12,TweetDeck,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

",,,,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,Jax,,,,,,2017-07-28,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,0.34170300000000003,True,Border_collie,0.199287,True,ice_lolly,0.193548,False
7,890729181411237888,16226,58233,,,2017-07-28 00:22:40,TweetDeck,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,,,,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,,,,,,,2017-07-28,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142,True,Eskimo_dog,0.17840599999999998,True,Pembroke,0.0765069,True
8,890609185150312448,3718,25106,,,2017-07-27 16:25:51,TweetDeck,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,,,,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,,,,,,2017-07-27,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier,0.487574,True,Irish_setter,0.193054,True,Chesapeake_Bay_retriever,0.118184,True
9,890240255349198849,6264,28624,,,2017-07-26 15:59:51,TweetDeck,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,,,,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,doggo,,,,doggo,2017-07-26,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True
